Comment,Designator,Footprint,LCSC Part #
MLT-8530,BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,C94599
10uF,"C1,C2,C4",C_0805_2012Metric,C15850
100nF,"C3,C5,C7,C8",C_0603_1608Metric,C14663
1uF,C6,C_0805_2012Metric,C28323
PSM712,D1,SOT-23,C32677
WS2812B,D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
B5819W,D3,D_SOD-123,C8598
1A PTC,F1,Fuse_1206_3216Metric,C5358568
USB-C 16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
XLR-5 female (DMX OUT),J2,Jack_XLR_Neutrik_NC5FAH_Horizontal,C368501
DMX pigtail,J3,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",C474953
EXPANSION,J4,PinHeader_1x06_P2.54mm_Vertical,C37208
UART0,J5,PinHeader_1x04_P2.54mm_Vertical,C124378
S8050,Q1,SOT-23,C2146
5.1k,"R1,R2",R_0603_1608Metric,C23186
10k,"R3,R4,R5,R7",R_0603_1608Metric,C25804
330R,R8,R_0603_1608Metric,C23138
1k,R9,R_0603_1608Metric,C21190
RESET,SW1,SW_SPST_SKQG_WithStem,C318884
BOOT,SW2,SW_SPST_SKQG_WithStem,C318884
USER,SW3,SW_SPST_SKQG_WithStem,C318884
ESP32-S3-WROOM-1-N16R8,U1,ESP32-S3-WROOM-1,C2913202
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186
SP3485EN,U3,SOIC-8_3.9x4.9mm_P1.27mm,C8963
USBLC6-2SC6,U4,SOT-23-6,C7519
