Designator,Mid X,Mid Y,Layer,Rotation
BZ1,69.0,-41.5,Top,0.0
C1,12.0,-9.5,Top,0.0
C2,9.0,-21.0,Top,0.0
C3,14.0,-21.0,Top,0.0
C4,17.5,-3.5,Top,0.0
C5,18.0,-7.0,Top,90.0
C6,15.0,-42.5,Top,0.0
C7,48.0,-7.0,Top,0.0
C8,39.0,-43.5,Top,0.0
D1,54.0,-20.0,Top,270.0
D2,43.5,-48.5,Top,0.0
D3,59.5,-37.0,Top,0.0
F1,12.0,-6.0,Top,0.0
J1,3.1,-31.0,Top,90.0
J2,62.85,-16.5,Top,0.0
J3,50.5,-48.5,Top,0.0
J4,43.0,-22.0,Top,0.0
J5,47.5,-22.0,Top,0.0
Q1,55.0,-37.0,Top,270.0
R1,14.0,-26.0,Top,90.0
R2,14.0,-36.0,Top,90.0
R3,10.5,-42.5,Top,0.0
R4,23.5,-42.5,Top,0.0
R5,34.5,-42.5,Top,0.0
R7,44.0,-17.0,Top,0.0
R8,43.5,-43.5,Top,0.0
R9,50.5,-37.0,Top,0.0
SW1,12.5,-48.0,Top,0.0
SW2,23.5,-48.0,Top,0.0
SW3,34.5,-48.0,Top,0.0
U1,30.0,-6.75,Top,0.0
U2,12.0,-15.0,Top,180.0
U3,48.0,-12.0,Top,270.0
U4,16.5,-31.0,Top,0.0
