Comment,Designator,Footprint,LCSC Part #
10uF,"C1,C2,C4",C_0603_1608Metric,C19702
1uF,C6,C_0402_1005Metric,C52923
100nF,"C3,C5,C7,C8",C_0402_1005Metric,C1525
PSM712,D1,SOT-23,C32677
WS2812B-2020,D2,LED_WS2812B-2020_PLCC4_2.0x2.0mm,C52917434
B5819W,D3,D_SOD-123,C8598
1A PTC,F1,Fuse_1206_3216Metric,C5358568
USB-C 16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
XLR-5 female (DMX OUT),J2,Jack_XLR_Neutrik_NC5FAH_Horizontal,C368501
S8050,Q1,SOT-23,C2146
5.1k,"R1,R2",R_0402_1005Metric,C25905
10R,R10,R_1206_3216Metric,C17903
10k,"R3,R4,R5,R7",R_0402_1005Metric,C25744
330R,R8,R_0402_1005Metric,C25104
470R,R9,R_0402_1005Metric,C25117
BOOT,SW2,SW_SPST_TS-1088-xR020,C720477
USER,SW3,SW_SPST_TS-1088-xR020,C720477
ESP32-S3-MINI-1-N8,U1,ESP32-S2-MINI-1,C2913206
AP2112K-3.3,U2,SOT-23-5,C51118
SP3485EN,U3,SOIC-8_3.9x4.9mm_P1.27mm,C8963
USBLC6-2SC6,U4,SOT-23-6,C7519
