Designator,Mid X,Mid Y,Layer,Rotation
C1,10.6,-18.4,Bottom,90.0
C2,14.5,-25.3,Bottom,0.0
C3,17.0,-25.3,Bottom,0.0
C4,3.0,-15.0,Bottom,90.0
C5,1.5,-13.0,Bottom,90.0
C6,3.5,-12.0,Bottom,0.0
C7,14.5,-5.0,Bottom,0.0
C8,12.5,-3.0,Bottom,0.0
D1,18.2,-19.4,Bottom,90.0
D2,17.1,-4.0,Top,90.0
D3,8.5,-4.5,Bottom,0.0
F1,14.0,-18.5,Bottom,0.0
J1,6.4,-25.9,Top,0.0
J2,21.35,-10.3,Top,0.0
Q1,3.0,-4.0,Bottom,0.0
R1,3.4,-28.2,Bottom,0.0
R2,9.4,-28.2,Bottom,0.0
R3,3.5,-10.0,Bottom,0.0
R4,11.3,-8.0,Bottom,0.0
R5,11.3,-10.0,Bottom,0.0
R7,16.3,-14.8,Bottom,0.0
R8,11.3,-12.0,Bottom,0.0
R9,6.0,-2.5,Bottom,0.0
R10,12.9,-15.4,Bottom,0.0
SW2,15.3,-21.9,Top,0.0
SW3,15.3,-26.0,Top,0.0
U1,5.25,-9.5,Top,90.0
U2,13.8,-22.5,Bottom,0.0
U3,15.2,-9.8,Bottom,90.0
U4,6.4,-27.0,Bottom,0.0
